Filename,ID,mge_params,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_input_reads,cleaning_kept_reads,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_ambig_bases,cleaning_cov_percent,cleaning_cov_avg,cleaning_cov_max,cleaning_cov_min
BSNTN2278-24_r_1.3_s_50_BSNTN2278-24,BSNTN2278-24,r_1.3_s_50_merge,1835776,0,4,1533,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2243-24_r_1.3_s_50_BSNTN2243-24,BSNTN2243-24,r_1.3_s_50_merge,4649556,280,156,1533,5.0,34.0,13.219178082191782,13.0,280,260,1,15,4,0,100.0,13.22,34.0,5.0
BSNTN2242-24_r_1.3_s_100_BSNTN2242-24,BSNTN2242-24,r_1.3_s_100_merge,201,0,0,1533,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2216-24_r_1_s_100_BSNTN2216-24,BSNTN2216-24,r_1_s_100_merge,298,1,0,1533,0.0,1.0,0.08610567514677103,0.0,1,1,0,0,0,0,8.61,1.0,1.0,1.0
BSNTN2208-24_r_1.5_s_50_BSNTN2208-24,BSNTN2208-24,r_1.5_s_50_merge,8486554,84,520,1569,0.0,18.0,2.4321223709369026,2.0,84,72,0,7,5,0,64.24,3.79,18.0,1.0
BSNTN2252-24_r_1.5_s_50_BSNTN2252-24,BSNTN2252-24,r_1.5_s_50_merge,3264325,7,41,1533,0.0,3.0,0.35812133072407043,0.0,7,6,1,0,0,0,21.53,1.66,3.0,1.0
BSNTN2205-24_r_1_s_50_BSNTN2205-24,BSNTN2205-24,r_1_s_50_merge,4056898,69,31,1533,0.0,9.0,3.0489236790606653,3.0,69,52,3,10,4,0,83.76,3.64,9.0,1.0
BSNTN2266-24_r_1.5_s_100_BSNTN2266-24,BSNTN2266-24,r_1.5_s_100_merge,115,0,0,1533,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2241-24_r_1.5_s_50_BSNTN2241-24,BSNTN2241-24,r_1.5_s_50_merge,434,0,0,1539,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2205-24_r_1_s_100_BSNTN2205-24,BSNTN2205-24,r_1_s_100_merge,4056898,23,6,1533,0.0,6.0,1.675146771037182,1.0,23,17,3,2,1,0,68.3,2.45,6.0,1.0
BSNTN2233-24_r_1.5_s_50_BSNTN2233-24,BSNTN2233-24,r_1.5_s_50_merge,7080209,59,225,1710,0.0,10.0,1.6017543859649124,0.0,59,50,0,8,1,0,44.91,3.57,10.0,1.0
BSNTN2245-24_r_1.5_s_50_BSNTN2245-24,BSNTN2245-24,r_1.5_s_50,14549836,3307,1765,1539,0.0,741.0,144.37816764132555,85.0,3307,3240,0,20,47,0,90.25,159.97,741.0,2.0
BSNTN2238-24_r_1.5_s_100_BSNTN2238-24,BSNTN2238-24,r_1.5_s_100,671,0,0,1533,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
